Modèle,Accuracy,Precision,Recall,F1-score,Loss,Temps (s)
Classification binaire,0.95,0.9025000000000001,0.95,0.9256410256410256,0.24591509997844696,2.8112
Classification sévérité,0.8,0.64,0.8,0.711111111111111,0.6642757654190063,3.0152
